block_id,query_locus,target_locus,length,identity,score,n_query_windows,n_target_windows
0,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0002,2,0.7477604256724294,1.4955208513448588,2,2
1,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0003,2,0.8650980683888869,1.7301961367777738,2,2
2,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0004,2,0.9633721156796955,1.926744231359391,2,2
3,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0005,2,0.7513230987076791,1.5026461974153582,2,2
4,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0006,2,0.8567244734839405,1.713448946967881,2,2
5,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0007,2,0.7610117813449365,1.522023562689873,2,2
6,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0008,2,0.970964372021388,1.941928744042776,2,2
7,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0009,2,0.7594720835397251,1.5189441670794501,2,2
8,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0010,2,0.9713472639369252,1.9426945278738503,2,2
9,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0011,2,0.7568394262720978,1.5136788525441955,2,2
10,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0012,2,0.8630876375666972,1.7261752751333943,2,2
11,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0013,2,0.84368271755513,1.68736543511026,2,2
12,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0014,2,0.8702504352220973,1.7405008704441947,2,2
13,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0015,2,0.7546414871629074,1.5092829743258147,2,2
14,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0016,2,0.8662729153180404,1.7325458306360808,2,2
15,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0017,2,0.9743660530202702,1.9487321060405405,2,2
16,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0018,2,0.9600200162515272,1.9200400325030544,2,2
17,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0019,2,0.8733351332567301,1.7466702665134601,2,2
18,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0020,2,0.7551405405700209,1.5102810811400418,2,2
19,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0021,2,0.9547139780240943,1.9094279560481886,2,2
20,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0022,2,0.7491855312201906,1.4983710624403812,2,2
21,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0023,2,0.9763571273606173,1.9527142547212346,2,2
22,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0024,2,0.7595996775342891,1.5191993550685783,2,2
23,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0025,2,0.860909195990841,1.721818391981682,2,2
24,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0026,2,0.8672375717156505,1.734475143431301,2,2
25,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0027,2,0.7532250471801849,1.5064500943603698,2,2
26,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0028,2,0.9352660524763694,1.8705321049527388,2,2
27,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0029,2,0.748498800389601,1.496997600779202,2,2
